gamma,xi_1,xi_2
0.0,1.1519464646903528,1.2962435597400221
0.010483828804042496,1.1510572941409176,1.2857952282039204
0.020967657608084993,1.1501700245282784,1.2753549628549956
0.031451486412127486,1.154142432853628,1.2664807662713817
0.041935315216169985,1.1609916028653777,1.2585508591641033
0.05241914402021248,1.1562780811238886,1.2511708474607848
0.06290297282425497,1.1486787378725942,1.2439515974631898
0.07338680162829747,1.1410837617642182,1.236721417714646
0.08387063043233997,1.1334951590043865,1.229500707137053
0.09435445923638247,1.1258973661675686,1.222279326408894
0.10483828804042496,1.1183194498089555,1.2150274453380219
0.11532211684446746,1.1107182984866648,1.2078193572410851
0.12580594564850994,1.103136954945237,1.2005853105679873
0.13628977445255244,1.0955419040544554,1.1933594033964148
0.14677360325659494,1.0879480866859894,1.1861324435092213
0.15725743206063744,1.0803526447658265,1.1788939950894286
0.16774126086467994,1.0727787083301512,1.1716565758799966
0.17822508966872244,1.0651723165099762,1.1644272157869833
0.18870891847276494,1.0575861090454566,1.1571913690782938
0.19919274727680744,1.0499902433505064,1.1499589508399828
0.2096765760808499,1.0424064027565927,1.1427190754076526
0.2201604048848924,1.034818996778457,1.1355055670831007
0.2306442336889349,1.0322493210373689,1.127320433570681
0.2411280624929774,1.0307053365481091,1.1189868320558967
0.2516118912970199,1.0291556259637387,1.1106222122637197
0.2620957201010624,1.027613718271146,1.1022997280847096
0.2725795489051049,1.0260656168114881,1.0939438534418955
0.2830633777091474,1.0245383440470106,1.0857003329308001
0.2935472065131899,1.0245346809615907,1.0856805870730823
0.3040310353172324,1.0245346824546977,1.0856805902854163
0.3145148641212749,1.024534673759145,1.0856805504383626
0.3249986929253174,1.0245346832471258,1.0856805800813736
0.3354825217293599,1.0245346791296939,1.0856805701676246
0.34596635053340236,1.0245346794224357,1.0856805714861133
0.3564501793374449,1.0245346768459258,1.0856805609994156
0.36693400814148736,1.024534675685978,1.0856805572180344
0.3774178369455299,1.0245346756232485,1.0856805569510315
0.38790166574957236,1.0245346747748834,1.085680553856688
0.3983854945536149,1.0245346740768067,1.0856805515260044
0.40886932335765735,1.0245346737596348,1.085680550379294
0.4193531521616998,1.0245346736382366,1.0856805499053546
0.42983698096574235,1.024534673685196,1.0856805499858069
0.4403208097697848,1.0245346745878932,1.0856805522762156
0.45080463857382735,1.0245346736510097,1.0856805495637898
0.4612884673778698,1.0245346732787861,1.085680548437647
