xi_1,xi_2,P
2.0846904939050273,1.3526413860320265,0.0
2.084642526984766,1.3622346901392757,0.0
2.0844986310206344,1.3718270349241082,0.0
2.084258820402109,1.3814174611600398,0.0
2.083923119110051,1.3910050098124385,0.0
2.0834915607143114,1.4005887221344286,0.0
2.0829641883703687,1.4101676397627645,0.0
2.0823410548150187,1.4197408048136657,0.0
2.081622222361097,1.4293072599786047,0.0
2.0808077628912507,1.4388660486200373,0.0
2.0798977578507474,1.4484162148670645,0.0
2.078892298239333,1.4579568037110204,0.0
2.0777914846021313,1.467486861100971,0.0
2.076595427019588,1.4770054340391188,0.0
2.0753042450964645,1.4865115706761023,0.0
2.073918067949878,1.4960043204061795,0.0
2.0724370341963874,1.505482733962288,0.0
2.070861291938134,1.514945863510971,0.0
2.069190998748031,1.5243927627471592,0.0
2.067426321654004,1.5338224869888015,0.0
2.0655674371222936,1.5432340932713322,0.0
2.0636145310398026,1.5526266404419653,0.0
2.0615677986955125,1.5619991892538114,0.0
2.0594274447609524,1.5713508024597997,0.0
2.0571936832697313,1.5806805449064023,0.0
2.0548667375961376,1.5899874836271495,0.0
2.0524468404327996,1.599270687935925,0.0
2.049934233767416,1.6085292295200337,0.0
2.0473291688585604,1.617762182533033,0.0
2.0446319062105527,1.6269686236873153,0.0
2.04184271554741,1.6361476323464372,0.0
2.0389618757858745,1.6452982906171822,0.0
2.035989675007521,1.6544196834413487,0.0
2.0329264104299507,1.6635108986872553,0.0
2.029772388377069,1.6725710272409535,0.0
2.0265279242484526,1.6815991630971379,0.0
2.0231933424878106,1.6905944034497464,0.0
2.019768976550541,1.6995558487822398,0.0
2.0162551688703827,1.7084826029575524,0.0
2.012652270825176,1.7173737733077057,0.0
2.008960642701724,1.7262284707230742,0.0
2.005180653659761,1.7350458097412953,0.0
2.001312681695042,1.7438249086358146,0.0
1.9973571136015407,1.7525648895040586,0.0
1.9933143449327695,1.761264878355224,0.0
1.9891847799622264,1.7699240051976757,0.0
1.9849688316429674,1.7785414041259449,0.0
1.980666921566311,1.7871162134073204,0.0
1.97627947991968,1.7956475755680192,0.0
1.9718069454435825,1.8041346374789353,0.0
1.9672497653877397,1.81257655044095,0.0
1.9626083954663591,1.8209724702698016,0.0
1.957883299812565,1.829321557380504,0.0
1.9530749509319856,1.8376229768713035,0.0
1.9481838296555014,1.8458758986071695,0.0
1.9432104250911646,1.8540794973028052,0.0
1.9381552345752873,1.8622329526051773,0.0
1.9330187636227079,1.8703354491755506,0.0
1.9278015258762418,1.8783861767710197,0.0
1.9225040430553155,1.886384330325534,0.0
1.9171268449037968,1.8943291100304034,0.0
1.9116704691370199,1.902219721414278,0.0
1.9061354613880142,1.9100553754225946,0.0
1.9005223751529425,1.9178352884964822,0.0
1.8948317717357508,1.925558682651117,0.0
1.889064220192038,1.9332247855535192,0.0
1.8832202972721528,1.940832830599787,0.0
1.8773005873635173,1.9483820569917563,0.0
1.871305682432189,1.9558717098130782,0.0
1.8652361819636654,1.9633010401047124,0.0
1.8590926929029357,1.9706693049398205,0.0
1.852875829593786,1.9779757674980594,0.0
1.8465862137173665,1.9852196971392622,0.0
1.840224474230024,1.992400369476501,0.0
1.8337912473004054,1.9995170664485258,0.0
1.8272871762458427,2.0065690763915702,0.0
1.8207129114680214,2.013555694110517,0.0
1.8140691103879407,2.020476220949416,0.0
1.807356437380172,2.0273299648613503,0.0
1.8005755637064227,2.03411624047764,0.0
1.793727167448409,2.0408343691763795,0.0
1.7868119334400496,2.0474836791502966,0.0
1.779830553198983,2.054063505473935,0.0
1.7727837248574156,2.0605731901701456,0.0
1.765672153092309,2.067012082275884,0.0
1.7584965490549134,2.0733795379073046,0.0
1.7512576302996528,2.079674920324151,0.0
1.7439561207123706,2.0858975999934275,0.0
1.7365927504379406,2.0920469546523526,0.0
1.7291682558072545,2.098122369370585,0.0
1.7216833792635882,2.104123236611715,0.0
1.7141388692883583,2.1100489562940203,0.0
1.706535480326276,2.1158989358504705,0.0
1.698873972709901,2.1216725902879845,0.0
1.6911551125836097,2.12736934224593,0.0
1.6833796718269836,2.1329886220538588,0.0
1.675548427977618,2.1385298677884723,0.0
1.6676621641533722,2.143992525329815,0.0
1.6597216689740564,2.1493760484166855,0.0
1.6517277364825718,2.1546798987012608,0.0
1.643681166065506,2.159903545802932,0.0
1.6355827623731949,2.1650464673613423,0.0
1.6274333352392594,2.1701081490886223,0.0
1.6192336995996215,2.175088084820816,0.0
1.6109846754110124,2.179985776568501,0.0
1.6026870875689767,2.1848007345665836,0.0
1.5943417658253838,2.1895324773232767,0.0
1.585949544705454,2.1941805316682474,0.0
1.5775112634243054,2.198744432799935,0.0
1.5690277658030345,2.2032237243320294,0.0
1.5604999001843338,2.2076179583391102,0.0
1.5519285193476586,2.211926695401438,0.0
1.5433144804239498,2.2161495046488975,0.0
1.5346586448099215,2.2202859638040833,0.0
1.525961878081922,2.2243356592245265,0.0
1.5172250499093765,2.22829818594406,0.0
1.508449033967822,2.2321731477133135,0.0
1.4996347078515389,2.23596015703934,0.0
1.4907829529857939,2.239658835224362,0.0
1.4818946545386968,2.243268812403644,0.0
1.4729707013326858,2.2467897275824757,0.0
1.4640119857556448,2.2502212286722734,0.0
1.455019403671666,2.2535629725257875,0.0
1.4459938543314634,2.256814624971418,0.0
1.4369362402824506,2.2599758608466294,0.0
1.4278474672784842,2.2630463640304694,0.0
1.4187284441892904,2.2660258274751777,0.0
1.4095800829095793,2.2689139532368925,0.0
1.4004032982678551,2.2717104525054452,0.0
1.3911990079349346,2.274415045633239,0.0
1.381968132332181,2.2770274621632143,0.0
