gamma,xi_1,xi_2
0.0,1.151938840387015,1.2962581464406493
0.010483828804042496,1.151938840387015,1.2962581464406495
0.020967657608084993,1.151938840544976,1.2962581465425809
0.031451486412127486,1.151938840235885,1.2962581464900298
0.041935315216169985,1.1519388403783135,1.2962581464385834
0.05241914402021248,1.1519388404094508,1.2962581464924576
0.06290297282425497,1.151938840415124,1.296258146532106
0.07338680162829747,1.1519388403890298,1.2962581464426475
0.08387063043233997,1.151937678902311,1.296253534407163
0.09435445923638247,1.1519373487200375,1.2962522232035036
0.10483828804042496,1.1519371688588798,1.2962515089285946
0.11532211684446746,1.151936654795656,1.2962494688527064
0.12580594564850994,1.1519364393228873,1.2962486127745538
0.13628977445255244,1.1519362959458177,1.296248043340113
0.14677360325659494,1.1519354647131794,1.2962447423100572
0.15725743206063744,1.1519367511600402,1.2962498513992806
0.16774126086467994,1.1519357567157806,1.2962459032098144
0.17822508966872244,1.151936043568482,1.2962470418839724
0.18870891847276494,1.1519353148184226,1.2962441490254744
0.19919274727680744,1.1519345527228,1.2962411198307973
0.2096765760808499,1.1519349456641894,1.2962426820533126
0.2201604048848924,1.1519349695278789,1.2962427759009842
0.2306442336889349,1.1519360083356174,1.2962469018034308
0.2411280624929774,1.151935366512566,1.29624435375123
0.2516118912970199,1.1519338439128528,1.296238308340329
0.2620957201010624,1.151934335493467,1.2962402591625013
0.2725795489051049,1.1519356591774133,1.2962455154174763
0.2830633777091474,1.1519355667857447,1.296245148328341
0.2935472065131899,1.1519338925685971,1.2962385004722126
0.3040310353172324,1.1519344592559715,1.296240751152129
0.3145148641212749,1.1519329092958168,1.296234595748184
0.3249986929253174,1.151932265730677,1.2962320407281245
0.3354825217293599,1.1519325409037422,1.2962331339349753
0.34596635053340236,1.1519331433299735,1.296235525915561
0.3564501793374449,1.1519350629132874,1.2962431473443061
0.36693400814148736,1.1519333362376525,1.2962362911023744
0.3774178369455299,1.1519327664815733,1.2962340300706077
0.38790166574957236,1.1519343768856931,1.2962404245268386
0.3983854945536149,1.1519342829890327,1.296240051620006
0.40886932335765735,1.1519341780591594,1.2962396349483847
0.4193531521616998,1.1519317328454477,1.2962299249430624
0.42983698096574235,1.1519292908165513,1.2962202291541507
0.4403208097697848,1.1519328852570254,1.29623450204524
0.45080463857382735,1.1519342583575258,1.2962399531915536
0.4612884673778698,1.1519336371621585,1.296237486584961
0.47177229618191235,1.151933750001397,1.2962379346370116
0.4822561249859548,1.1519338434978281,1.2962383058377578
0.49273995378999735,1.1519293329852123,1.2962203968774482
0.5032237825940398,1.1519335384567366,1.2962370942612906
0.5137076113980823,1.1519297116440324,1.2962218976450586
0.5241914402021248,1.151934277243492,1.296240028963007
0.5346752690061674,1.1519320627802947,1.2962312322699754
0.5451590978102098,1.1519312175987104,1.2962278788729646
0.5556429266142523,1.1519318979507869,1.2962305795866103
0.5661267554182948,1.1519324996345983,1.2962329684668255
0.5766105842223374,1.1519321153291628,1.2962314416375647
0.5870944130263798,1.1519322107686616,1.2962318217276272
0.5975782418304223,1.1519350443544567,1.296243073167689
0.6080620706344648,1.1519346998869016,1.2962417053063047
0.6185458994385072,1.1519344268657146,1.2962406210890087
0.6290297282425498,1.151934518653061,1.2962409855455026
0.6395135570465923,1.1519319262901608,1.2962306914926476
0.6499973858506348,1.1519299600894106,1.2962228829316966
0.6604812146546772,1.1519292949324602,1.2962202460314107
0.6709650434587198,1.1519294876295252,1.2962210110009755
0.6814488722627623,1.1519290336119439,1.2962192063143536
0.6919327010668047,1.151931351874585,1.2962284140202898
0.7024165298708472,1.1519335960049377,1.2962373240329657
0.7129003586748898,1.151932749937253,1.29623396159542
0.7233841874789323,1.1519308206680907,1.2962263018741238
0.7338680162829747,1.1519340072541666,1.2962389569008845
0.7443518450870172,1.1519338720508527,1.2962384198516481
0.7548356738910598,1.1519346011605607,1.296241314521018
0.7653195026951022,1.1519292780153323,1.296220173688104
0.7758033314991447,1.1519312684873053,1.2962280787026708
0.7862871603031872,1.1519323977363238,1.296232564641511
0.7967709891072298,1.1519364593795276,1.2962486903448145
0.8072548179112722,1.15193363980019,1.296237496841644
0.8177386467153147,1.151934661001781,1.2962415519874524
0.8282224755193572,1.1515708072375088,1.2962602872037499
0.8387063043233997,1.1511313761459474,1.2962629162732622
0.8491901331274422,1.1507015598619514,1.2962654500000885
0.8596739619314847,1.1501309826611785,1.2962688269273162
0.8701577907355272,1.149574150931651,1.2962721224091165
0.8806416195395697,1.1490305651364874,1.2962753030969512
0.8911254483436122,1.1478176470099344,1.2962825077626605
0.9016092771476547,1.1455269961168468,1.296386600019969
0.9120931059516972,1.1432862842817029,1.29651028448889
0.9225769347557397,1.1435559316726303,1.3079756154517026
0.9330607635597822,1.1439285607701277,1.320229941690243
0.9435445923638247,1.1442971989028496,1.3328028732083876
0.9540284211678671,1.1440260655950822,1.3425816663810772
0.9645122499719097,1.140849711616674,1.3457049362617328
0.9749960787759522,1.1357609386754912,1.3469573821060405
0.9854799075799947,1.1313056766393965,1.3495001283752428
0.9959637363840371,1.1272054734495176,1.3527543920766478
1.0064475651880795,1.1223433773608167,1.3523568619684008
1.016931393992122,1.117749029733952,1.3510852463139695
1.0274152227961646,1.1131386315762202,1.3496927179468279
1.0378990516002071,1.1084817469388222,1.348252912034022
1.0483828804042497,1.1038128569782943,1.3466920676195697
1.0588667092082922,1.1004044653445568,1.3422721205762236
1.0693505380123347,1.0969149193157615,1.3379783190394092
1.0798343668163772,1.0933448483309856,1.3338030695144154
1.0903181956204195,1.0897423362522487,1.329641843755831
1.100802024424462,1.0861452257883784,1.325417266495162
1.1112858532285046,1.0834054474432253,1.3194371809450571
1.1217696820325471,1.081492574916504,1.3118417900641126
1.1322535108365896,1.0795887592206106,1.304282359304896
1.1427373396406322,1.0776937604602037,1.2967579375918068
1.1532211684446747,1.0758073466956,1.2892676040773081
1.163704997248717,1.073929287920281,1.2818104473399163
1.1741888260527595,1.0720593875972488,1.2743856814147072
1.184672654856802,1.0701974189729226,1.2669924114038578
1.1951564836608446,1.0683431862321016,1.2596298591355712
