gamma,nom,rob,sat,grob,reg,oracle,guarantee_garo,guarantee_sat
0.0,-4.164787403837522e-10,0.06057474638458371,0.0071655464993278795,0.04582866168517408,0.0038863516557728905,0.9893598409493577,0.045828661816361964,0.03957439325643841
0.010483828804042496,0.00010990753960427035,0.056059716405194804,0.005575155433073853,0.04173327745984312,0.005127225859739903,1.0059818900597572,0.045828661816361964,0.026321734852972106
0.020967657608084993,0.00043964129808005126,0.051764507622054534,0.004204589333716591,0.0378577184260358,0.006587927171016306,1.022384114358699,0.045828661816361964,0.013288901260963678
0.031451486412127486,0.0008906785168314446,0.04949226409025176,0.0035051754583539374,0.03560270082355732,0.008250498102034598,1.0324234033393755,0.045828661816361964,0.0066190029872202905
0.041935315216169985,0.0015031618379206524,0.048508306026806114,0.0032930229703689307,0.03439751105771882,0.010122257574896265,1.0386027310531472,0.045828661816361964,0.0038090659803819253
0.05241914402021248,0.00204995288510168,0.04474765939635206,0.002385764031354043,0.031227163422594684,0.0112489643736704,1.0433954236259624,0.045828661816361964,0.0023857641144999393
0.06290297282425497,0.0027457900280372094,0.04046402886325717,0.0014715244179825948,0.027735003232002953,0.012356310998250963,1.0476790539272467,0.045828661816361964,0.0014715245201488703
0.07338680162829747,0.003661448146564883,0.03640021971038232,0.0007771045349576067,0.024462663741822377,0.013683479082395644,1.0517428631262227,0.045828661816361964,0.0007771060281061386
0.08387063043233997,0.004796927667282569,0.03255623208611458,0.00030250759700067853,0.021410145757051025,0.015230468152287902,1.0555868508897615,0.045828661816361964,0.00030250897150060213
0.09435445923638247,0.006152229080843119,0.028932066193223305,4.7733669975791315e-5,0.018577449496564702,0.016997278897608492,1.0592110168098452,0.045828661816361964,4.7733758350102656e-5
0.10483828804042496,0.007727351238102198,0.025527722219274906,1.2779334740420367e-5,0.015964574291729594,0.018983910583102448,1.0626153618334768,0.045828661816361964,1.2779441651712686e-5
0.11532211684446746,0.00952229471577759,0.02234320393021272,0.00019764633183472213,0.013571520397886117,0.0211903633637176,1.0657998855461435,0.045828661816361964,0.00019764643591831804
0.12580594564850994,0.011537059915307735,0.019378496173259707,0.0006023332619831123,0.011398288228497089,0.023616638128915124,1.0687645875414715,0.045828661816361964,0.0006023351475235028
0.13628977445255244,0.013771646723462982,0.01663361861590973,0.0012268439159890399,0.009444877622882153,0.026262734573157642,1.0715094679364867,0.045828661816361964,0.0012268454594415515
0.14677360325659494,0.0162260534874461,0.01410855597108096,0.0020711740944767687,0.007711287147764034,0.02912865086547467,1.074034528368,0.045828661816361964,0.002071175734861562
0.15725743206063744,0.01890028274171307,0.011803319868131101,0.0031353263431186384,0.0061975193683780905,0.032214389745661265,1.0763397662988465,0.045828661816361964,0.003135328510948221
0.16774126086467994,0.021794333540608113,0.009717906522564768,0.004419300820354355,0.004903572474770801,0.035519950126024824,1.0784251826827145,0.045828661816361964,0.004419302834013525
0.17822508966872244,0.024908204574398685,0.007852305364338452,0.00592309536321034,0.0038294459523271485,0.039045330741656725,1.080290778835035,0.045828661816361964,0.00592309738862614
0.18870891847276494,0.028241897436658725,0.0062065318758461885,0.007646711684147878,0.002975141567984174,0.042790533035875544,1.081936553160676,0.045828661816361964,0.007646713769918552
0.19919274727680744,0.03179541151643983,0.00478057981840041,0.009590149118284153,0.0023406586624739045,0.046755556548297106,1.0833625062734322,0.045828661816361964,0.009590151364095509
0.2096765760808499,0.03556874651753272,0.003574448749585235,0.011753409782548463,0.001925996688125986,0.05094040107266129,1.0845686384621767,0.045828661816361964,0.011753409882284307
0.2201604048848924,0.03956190371487733,0.00258813996051499,0.014136490487131281,0.0017311558271557725,0.055345068031761535,1.0855549484476008,0.045828661816361964,0.014136490603793406
0.2306442336889349,0.043748569157608275,0.0017953394337331119,0.016713079464935277,0.001729823638928485,0.05994324334832202,1.0863477501831624,0.045828661816361964,0.016713079575165032
0.2411280624929774,0.04808050634411187,0.0011478042422845558,0.019434940173634896,0.0018737634649352852,0.06468668991089577,1.086995280171998,0.045828661816361964,0.01943494029326273
0.2516118912970199,0.05255667480253012,0.000644507754873791,0.022301029703685193,0.0021619345518000266,0.06957436767642,1.0874985788987113,0.045828661816361964,0.02230103227348268
0.2620957201010624,0.05717707670246064,0.00028544051681045346,0.02531135581071764,0.0025943390691105517,0.07460627898442196,1.0878576441951953,0.045828661816361964,0.02531135768393193
0.2725795489051049,0.06194171234594692,7.060898626476408e-5,0.028465915330270875,0.003170977313167622,0.079782424231577,1.0880724757533364,0.045828661816361964,0.028465916832723995
0.2830633777091474,0.06685056823228086,-2.4154904743056704e-9,0.031764694829176765,0.003891835840833302,0.08510278975926666,1.0881430870393058,0.045828661816361964,0.031764696253687844
0.2935472065131899,0.07183003900401475,9.676919265899642e-10,0.03513408904533111,0.004683309243468825,0.09049377027364103,1.0881430834518004,0.045828661816361964,0.03513409054812648
0.3040310353172324,0.07680950545099896,1.899691515205859e-10,0.038503478811525715,0.005474778307786421,0.09588474638974098,1.088143084203436,0.045828661816361964,0.03850348050342409
